LiDAR Coverage Area Analysis
==================================================

Total number of LiDAR tiles: 3,152
Total area covered: 115,429.67 hectares
Total area covered: 1,154.30 square kilometers
Total area covered: 1,154,296,712 square meters

Individual Tile Areas:
--------------------------------------------------
Tile Name                                Area (hectares)
FNA_A01_2013_laz_12.laz                  69.79          
FNA_A01_2013_laz_8.laz                   69.78          
FND_A03_2017_laz_10.laz                  69.67          
ST3_A01_2018_P30_LAS_2.laz               69.66          
FND_A03_2017_laz_8.laz                   69.65          
SFX_A01_2012_laz_2.laz                   69.18          
TAC_A01_2013_laz_13.laz                  68.98          
FND_A02_2017_laz_3.laz                   68.91          
CAG_A01_2013_laz_10.laz                  68.84          
TAP_A01_2012_laz_2.laz                   68.83          
JAM_A02b_2014_laz_5.laz                  68.74          
JAM_A02_2015_laz_13.laz                  68.74          
ST3_A01_2014_P26_laz_2.laz               68.66          
ANA_A01_2017_laz_1.laz                   68.56          
ST3_A01_2014_P20_laz_7.laz               68.11          
COT_A01_2011_laz_16.laz                  67.67          
JAM_A02_2013_laz_8.laz                   67.62          
JAM_A02_2011_laz_4.laz                   67.62          
RIB_A01_2014_laz_16.laz                  67.45          
PRG_A01_2013_P30a_laz_5.laz              67.43          
PRG_A01_2013_P30a_laz_1.laz              67.41          
PRG_A01_2013_P29a_laz_5.laz              67.41          
PRG_A01_2013_P29b_laz_4.laz              67.41          
PRG_A01_2013_P29b_laz_2.laz              67.40          
PRG_A01_2013_P29a_laz_7.laz              67.39          
PRG_A01_2013_P27a_laz_6.laz              67.38          
PRG_A01_2013_P26a_laz_5.laz              67.37          
PRG_A01_2013_P27a_laz_2.laz              67.36          
PRG_A01_2013_P26b_laz_0.laz              67.36          
PRG_A01_2013_P28b_laz_1.laz              67.35          
PRG_A01_2013_P26b_laz_5.laz              67.34          
